id,text_sha256,char_len,word_count,source_document
264,66b3e9409a9d8266db12500338588dea4ed126b063380d964b972368b4dc2859,327,54,
265,da2dca5a1231d11ae81d3bff8dabe69160b882ca5f1cd6e0f0599c9eeaaccb58,82,13,
266,053e3e61439900c658845a390c346fd2a6652c1b81115189aadf5d7dca04d43f,93,16,
267,c39f112a9c73bd596333bdde1e6d3b1c59cb5e539f3f82463ba96bf396e4df66,96,17,
268,509f09da4c2c4473c760ee6420e37f335dc33f6f59111cde1617cd262bd2303e,88,18,
269,4e2932bfb18b66fe8a61cec794aa5e6d4a057022c7a18eb05719ad08efe4b456,96,19,
270,4a18ab224ee0b2fb421902a011278fa9a8a70dd213a3396904f0ddd1daa52476,215,33,
271,1c5d56bdee35424341421defc4449b39a53e90967a59aefafa38e5b5ac23be12,217,37,
272,3d62c1d932fd263af34214110341c1c6c6a805b8e0e247f994a2143b644431df,215,39,
273,54032912721f2c8961cdf01998c49a41f05182f794a2b3c09710b4460118ef98,268,47,
274,3f51d90b2c88c0784d3f89e708988ac065f18b9f529c7e239ea4178ebb91eb30,237,40,
275,a667b73717b9243fc2e4f86bc47d2924dbcf21467e58e4801b1c8c9c99902ff8,189,34,
276,0daec3594af2585b90e1aa1145362ac590f91ab5dbbc850580aeabf9ec2fdfa5,187,34,
277,bde133657793fe1773774266b05802a99529e363086079c8bcfc7b1d3672fd98,199,31,
278,f10450a41dfd5e8002ec5881527fce440e317c1cdbfe4551ea1bf10ea59da26d,257,37,
279,03391a54f6d6574e66eb1f8a99b1be9b6c55be27b0f87da80d224426a318156d,213,34,
280,9a9b39d40673e0ec6f1611dba57415db5edd335d2403c435e844856dbb7a20ab,214,32,
